userid,srl_m_1,srl_m_2,srl_m_3,srl_m_4,srl_m_5,srl_m_6,srl_m_7,srl_m_8,srl_m_9,srl_m_10,srl_m_11,srl_m_12,srl_m_13,srl_m_14,srl_m_15,srl_m_16,srl_m_17,srl_m_18,srl_m_19,srl_m_20,srl_m_21,srl_m_22,srl_m_23,srl_m_24,srl_m_25,srl_m_26,srl_m_27,srl_m_28,srl_m_29,srl_m_30,srl_m_31
698d51a19d8a121ce581499d7b701668,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4
b84f9624c8d995c6b945afc898bd9973,3,4,4,4,2,2,1,1,4,5,4,4,4,4,4,2,4,4,2,4,4,4,3,2,4,4,2,3,1,1,1
fbc64c2a6c18eb693cb24d8081e034df,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
481c56986ebae62c870b0da9bbafc5c6,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5
0cebfa477ed3e2e0c5a3f9aa96c23698,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,3,3,3,3,4
3d606cd38291c1e5941bc1c37f84f216,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
c054e8c731029ce6d73c784213513b09,4,5,5,3,5,5,5,5,3,4,4,4,5,4,3,5,5,5,5,4,4,4,4,4,4,4,5,5,4,4,4
bebc49073c8a5def929612def946c281,4,4,2,3,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
a92f1708363527a34d93b0bc7840262c,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
379bbc4c2c728db0a249e8c4e6b621af,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,1,3,1,1,1
1361825bdeb54e5153e74389df8a2a10,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
d60df871c935791074fe3fc9c919b1e4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,2,3,2,4,3,4,4,4,4,4,4,3,3,4,3,3
e5d4b572258708faa5eb1c382eaba86c,4,5,4,5,5,5,5,5,4,4,4,5,4,5,5,4,5,4,4,3,4,4,4,4,4,4,4,5,3,4,4
f65238cddaeec1be538e9c1a5990e48f,4,4,4,5,5,2,5,4,5,5,5,5,5,5,5,4,4,4,4,1,5,4,5,3,4,3,3,4,4,2,2
a5841e53cf792922ad8a7c033329f09c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
f5fd1f70d1747238d53ec5ef722d68d7,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,4,4,3,4
b69c06f1f563ace3c69c7b32f2a6c850,5,5,5,4,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5f1981994e777f8d76c45df9adfc8662,3,4,3,4,3,4,3,3,4,3,4,4,3,4,4,3,3,2,4,4,3,3,4,4,3,3,4,4,3,4,4
c07f5585e0746dbf1021e0534565fc94,5,5,5,5,3,2,4,3,5,5,5,5,5,5,5,5,5,5,4,3,4,5,4,4,5,4,2,2,1,1,1
b64ce7758b9f7e58f1ad8bbcf7811e7d,5,4,4,5,5,5,4,3,5,4,4,5,5,5,4,4,5,5,5,4,4,4,4,5,4,5,2,2,1,1,1
2979bd5d5a584c2aa70f4a434412bc2b,3,3,5,2,5,5,5,4,5,5,5,5,5,5,4,1,5,5,5,2,5,2,4,4,4,4,3,4,1,1,4
9feda7bbf2a2e9b1b6ed4a1daa538960,3,3,4,4,4,3,3,3,4,4,3,4,3,4,4,3,3,3,3,2,3,2,2,3,2,2,3,3,2,3,3
43f0e2e3fc7691c51613758e2b65928e,4,4,4,4,3,3,3,3,4,4,5,5,4,5,3,5,4,4,3,3,4,3,3,3,3,3,3,3,4,3,4
92c1e87578f7b00e26df9d0ad21c63da,3,3,5,4,4,4,3,3,4,4,4,5,4,5,4,4,4,4,4,3,4,3,3,4,3,3,2,3,3,4,5
479e88f02385c56f386d07d59f02a3b2,3,3,4,4,4,4,3,4,3,4,3,3,3,3,2,2,2,3,2,4,3,2,2,2,2,2,5,4,5,5,4
bd47306d1ab10377783e37d4d363e482,4,4,4,4,3,3,3,3,4,3,4,4,3,3,4,3,4,3,3,4,4,4,3,3,4,3,2,3,2,2,2
8f5bbf339fb86953ffe9148794fcc52a,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,2,3,2,3,3,3,3,3,3,3,3,4,3,4,4,4
641eaeb08588407b37b1c2c109b59761,5,5,5,5,3,3,3,3,5,5,5,5,5,5,3,3,3,3,3,5,5,5,4,3,4,4,3,5,3,3,3
27c8f93d752f0222aa211e0691cebee4,5,5,5,4,5,5,5,4,5,4,4,5,4,4,4,4,5,3,4,3,4,4,4,4,4,4,1,5,5,3,5
a6f51cc7deb4cb5c5f493747f0e6e3a5,3,3,3,3,5,4,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,2,1,4,4,5,4,5
ef42bcd3300605e66dc7f8c01f773dec,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,2,2,2,2,2
a23402a174a55c4211136df4425a724e,4,4,3,4,5,3,4,4,3,4,3,4,4,4,4,3,4,3,3,3,4,3,4,4,3,4,3,3,3,2,2
0307ea84b89fceab3b507fec1900ce7e,4,5,5,4,4,3,3,3,3,5,5,4,4,5,4,4,4,4,3,3,5,4,3,3,3,3,3,3,3,3,4
4f9f1b81a07e3a192853ab1099a68fca,3,3,4,3,3,4,4,3,3,4,3,3,3,4,2,2,3,2,4,2,4,1,2,3,1,3,4,4,5,3,4
a3891cc21e1dd0051caa212b95c928f0,4,4,5,4,5,3,3,3,4,4,3,4,4,4,4,4,4,4,2,3,2,3,2,2,2,2,4,4,4,4,3
be9c58e4a639094d9f2c8bfec91afc16,4,4,5,4,4,3,5,4,3,5,4,4,5,4,4,4,4,4,3,2,4,2,2,3,2,2,3,4,4,5,5
82641bcdf4d62d9f473022a2bee912d4,4,4,4,4,4,4,2,4,3,5,4,5,5,5,4,2,4,2,4,2,5,2,5,5,2,4,5,5,5,5,5
4e3519d7eafbfccdae231756fcf2ce9c,3,4,4,3,5,5,5,3,5,5,5,5,5,5,3,4,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5
604adb5a2ffd0f8313a8b6f1da784ba5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,4,4,2,4,3,2,2
dd48bc0174c3ca2370b0a49c2bd6fa82,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
2bd3b13fa417ca0970aa75e44af86549,4,4,3,1,5,5,4,1,4,4,2,3,3,3,4,3,3,3,4,5,5,5,4,4,4,4,1,3,1,1,1
f8bb7ed0860701686be0bcaad12dcee6,5,5,5,5,5,3,5,3,5,5,4,5,4,5,5,5,5,5,5,4,5,4,4,5,4,5,3,3,4,3,4
f081b3cddc1a85f07c2560673f28547f,4,4,5,2,4,4,3,3,3,4,4,4,4,4,4,2,4,4,4,2,4,2,3,4,3,4,4,5,4,2,2
a6a0726e8604766b4636749d9203842b,4,3,3,4,2,4,5,5,4,4,3,5,3,4,5,4,5,4,3,2,4,3,2,2,3,3,5,5,5,5,4
ef3a6cc38845548b4329271ac48d638d,2,2,3,2,4,3,2,2,2,4,3,3,3,4,4,5,4,5,2,1,4,2,2,2,2,2,4,3,2,4,3
6df42c634fbdd9f3c1a33219e89e4939,5,4,5,5,3,3,2,3,4,5,5,5,5,5,4,4,4,3,2,5,4,4,3,3,2,3,1,3,3,5,5
